donor_smiles,acceptor_smiles,pce,replicate_count,pce_std,pce_min,pce_max,split
CCCCCCCCSc1csc(-c2cc(SCCCCCCCC)c(-c3scc4cc(C(=O)CCCCCCCC)sc34)s2)c1,CCCCC(=O)OCC1(c2ccccc2)C2=CC=Cc3cccc4cccc5ccc6ccccc7cccc1c7c6c5c-4c3C2,1.09,3,0.17925772879665,0.79,1.11,train
CCCCCCCCC1(CCCCCCCC)c2ccccc2-c2ccc(-c3ccc(-c4ccc(-c5cccs5)c5nc(-c6ccc(OC)cc6)c(-c6ccc(OC)cc6)nc45)s3)cc21,CCCCC(=O)OCC1(c2ccccc2)C2=CC=Cc3cccc4cccc5ccc6ccccc7cccc1c7c6c5c-4c3C2,4.2,1,0.0,4.2,4.2,train
CCCCCCc1ccsc1,CCCCC(CC)CN1C(=O)c2ccc3c4ccc5c6c(cc(-c7ccccc7C(C)C)c(c7ccc(c2c37)C1=O)c64)C(=O)N(CC(CC)CCCC)C5=O,0.72,1,0.0,0.72,0.72,train
CCCCCCCCc1cc(-c2c3cc(-c4c(F)c(F)cc5nsnc45)sc3c(-c3cc(CCCCCCCC)c(CCCCCCCC)s3)c3ccsc23)sc1CCCCCCCC,CCCCC(=O)OCC1(c2ccccc2)c2cccc3cccc4cccc5cccc6cccc1c6c-5c-4c-3c2,2.3,1,0.0,2.3,2.3,train
CCCCCCc1cc(C)sc1C,CCCCCCC1(CCCCCC)c2cc(N3C(=O)c4cccc5c(C#Cc6sc(-c7cc8c(cc(-c9sc(C#Cc%10ccc%11c%12c(cccc%10%12)C(=O)N(c%10ccc%12c(c%10)C(CCCCCC)(CCCCCC)C%10C=CC=CC%12%10)C%11=O)c(F)c9F)c9nsnc98)c8nsnc78)c(F)c6F)ccc(c45)C3=O)ccc2C2C=CC=CC21,0.26,1,0.0,0.26,0.26,train
CCCCCCCCC(CCCCCC)COC(=O)c1csc(-c2cc(C(=O)OCC(CCCCCC)CCCCCCCC)c(-c3ccc(-c4cccs4)s3)s2)c1,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)c2ccc3c4c(c(-c5ccc(-c6cccs6)s5)cc(c24)C1=O)C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)C3=O,1.45,1,0.0,1.45,1.45,train
CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)sc2-c2sc(-c3cc(F)c(-c4cc5c(s4)-c4sc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)cc4C5(CC(CC)CCCC)CC(CC)CCCC)cc3F)cc21,8.82,1,0.0,8.82,8.82,train
CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6cccs6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1,CCCCCCCCc1c(/C=C2\C(=O)c3cc(Cl)c(Cl)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nn(CC)nc4c4c5sc6c(CCCCCCCC)c(/C=C7\C(=O)c8cc9c(cc8C7=C(C#N)C#N)C7C8C=CC(C8)C97)sc6c5n(CC)c4c3n(CC)c21,16.82,1,0.0,16.82,16.82,train
CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,CCCCC(=O)OCC1(c2ccccc2)C2=CC=Cc3cccc4cccc5ccc6ccccc7cccc1c7c6c5c-4c3C2,8.3,5,2.035160927297889,7.5,12.52,train
c1ccc2cc3cc4cc5ccccc5cc4cc3cc2c1,CCCCC(=O)OCC1(c2ccccc2)c2cccc3cccc4cccc5cccc6cccc1c6c-5c-4c-3c2,0.2,1,0.0,0.2,0.2,train
CCCCCCc1ccsc1,CCCCCCCCC(CCCCCC)CN1C(=O)c2cccc3c(-c4ccc(-c5ccc6c(c5)C(=O)c5cc(-c7ccc(-c8ccc9c%10c(cccc8%10)C(=O)N(CC(CCCCCC)CCCCCCCC)C9=O)s7)ccc5-6)s4)ccc(c23)C1=O,2.8,1,0.0,2.8,2.8,train
CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6cccs6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)sc2-c2sc(-c3cc4c(s3)-c3sc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)cc3C4(CC(CC)CCCC)CC(CC)CCCC)cc21,4.324999999999999,2,0.2050609665440991,4.18,4.47,train
CCCCC(CC)Cc1ccc(-c2c3cc(-c4cccs4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)c2ccc3c4c(c(-c5ccc(-c6cccs6)s5)cc(c24)C1=O)C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)C3=O,3.09,1,0.0,3.09,3.09,train
CCCCCCc1ccsc1,CCCCCCCCC1(CCCCCCCC)c2ccccc2-c2ccc(-c3cc4c5c(ccc6c5c3C(=O)N(CCCCCC)C6=O)C(=O)N(CCCCCC)C4=O)cc21,0.76,1,0.0,0.76,0.76,train
CCCCC(CC)Cc1sc(-c2c3cc(-c4cccc5nsnc45)sc3c(-c3cc(Cl)c(CC(CC)CCCC)s3)c3ccsc23)cc1Cl,CCCCC(=O)OCC1(c2ccccc2)c2cccc3cccc4cccc5cccc6cccc1c6c-5c-4c-3c2,7.1,1,0.0,7.1,7.1,train
