donor_smiles,acceptor_smiles,pce,replicate_count,pce_std,pce_min,pce_max
CC(C)CCCC(C)CCC1(CCC(C)CCCC(C)C)c2ccsc2-c2sc(-c3c(F)c(F)cc4nsnc34)cc21,COC(=O)CCCC1(c2ccccc2)C23c4c5ccc6c7cc8c9c%10c(cc%11cc%12c%13c%14c(cc%15c%16ccc-5c2c%16c2c5c%16c%17c(c(c46)c7c9c%17c4c%10c%11c%13c4c%16c%14c%152)C513)C%12)C8,3.67,1,0.0,3.67,3.67
CC(C)CCCC(C)CCC1(CCC(C)CCCC(C)C)c2ccsc2-c2sc(-c3cc(F)cc4nsnc34)cc21,COC(=O)CCCC1(c2ccccc2)C23c4c5ccc6c7cc8c9c%10c(cc%11cc%12c%13c%14c(cc%15c%16ccc-5c2c%16c2c5c%16c%17c(c(c46)c7c9c%17c4c%10c%11c%13c4c%16c%14c%152)C513)C%12)C8,1.29,1,0.0,1.29,1.29
CC(C)CCCCCOC(=O)c1sc2c(-c3cc4c(-c5ccc(SCCC(C)CCCC(C)C)s5)c5sccc5c(-c5ccc(SCCC(C)CCCC(C)C)s5)c4s3)scc2c1F,COC(=O)CCCC1(c2ccccc2)C23c4c5ccc6c7cc8c9c%10c(cc%11cc%12c%13c%14c(cc%15c%16ccc-5c2c%16c2c5c%16c%17c(c(c46)c7c9c%17c4c%10c%11c%13c4c%16c%14c%152)C513)C%12)C8,7.36,1,0.0,7.36,7.36
CC1(C)c2ccccc2-c2ccc(N(c3ccccc3)c3ccc(-c4ccc(N(c5ccccc5)c5ccc6c(c5)C(C)(C)c5ccccc5-6)cc4)cc3)cc21,Cc1nc(-c2cc(-c3ccncc3)cc(-c3ccncc3)c2)cc(-c2cc(-c3ccncc3)cc(-c3ccncc3)c2)n1,0.87,1,0.0,0.87,0.87
CCCCC(CC)CC(=O)c1cc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sccc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)scc2s1,CCCCC(=O)OCC1(c2ccccc2)C2=CC=Cc3cccc4cccc5ccc6ccccc7cccc1c7c6c5c-4c3C2,6.14,39,2.271619925300058,0.03,8.81
CCCCC(CC)CC(=O)c1cc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sccc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)scc2s1,CCCCC(=O)OCC1(c2ccccc2)c2cccc3cccc4cccc5cccc6cccc1c6c-5c-4c-3c2,4.975,2,1.449568901432423,3.95,6.0
CCCCC(CC)CC(=O)c1cc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sccc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)scc2s1,CCCCC(CC)CN1C(=O)c2ccc3c4ccc5c6c(cc(-c7cc8c9c(ccc%10c%11ccc%12c%13c(ccc(c7c9%10)c%13%11)C(=O)N(CC(CC)CCCC)C%12=O)C(=O)N(CC(CC)CCCC)C8=O)c(c7ccc(c2c37)C1=O)c64)C(=O)N(CC(CC)CCCC)C5=O,0.485,8,0.2365677190875494,0.18,0.76
CCCCC(CC)CC(=O)c1cc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sccc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)scc2s1,CCCCC(CC)CN1C(=O)c2ccc3c4ccc5c6c(cc(-c7ccc(-c8cc9c%10c(ccc%11c%12ccc%13c%14c(ccc(c8c%10%11)c%14%12)C(=O)N(CC(CC)CCCC)C%13=O)C(=O)N(CC(CC)CCCC)C9=O)s7)c(c7ccc(c2c37)C1=O)c64)C(=O)N(CC(CC)CCCC)C5=O,2.645,8,1.4018559127100043,0.35,3.61
CCCCC(CC)CC(=O)c1cc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sccc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)scc2s1,CCCCC(CC)CN1C(=O)c2ccc3c4ccc5c6c(cc(-c7ccc(-c8ccc(-c9cc%10c%11c(ccc%12c%13ccc%14c%15c(ccc(c9c%11%12)c%15%13)C(=O)N(CC(CC)CCCC)C%14=O)C(=O)N(CC(CC)CCCC)C%10=O)s8)s7)c(c7ccc(c2c37)C1=O)c64)C(=O)N(CC(CC)CCCC)C5=O,0.47,8,0.1993561063595924,0.31,0.79
CCCCC(CC)CC(=O)c1cc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sccc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)scc2s1,CCCCC(CC)CN1C(=O)c2ccc3c4ccc5c6c(cc(-c7ccc(-c8ccc(-c9ccc(-c%10cc%11c%12c(ccc%13c%14ccc%15c%16c(ccc(c%10c%12%13)c%16%14)C(=O)N(CC(CC)CCCC)C%15=O)C(=O)N(CC(CC)CCCC)C%11=O)s9)s8)s7)c(c7ccc(c2c37)C1=O)c64)C(=O)N(CC(CC)CCCC)C5=O,0.365,8,0.295390177803625,0.2,0.91
CCCCC(CC)CC(=O)c1cc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sccc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)scc2s1,CCCCC(CC)Cc1cc(/C=C2\C(=O)c3ccccc3C2=C(C#N)C#N)sc1-c1ccc2c(c1)C1(c3ccccc3-2)c2ccccc2-c2ccc(-c3sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc3CC(CC)CCCC)cc21,0.4449999999999999,16,0.2158046956548134,0.18,1.01
CCCCC(CC)CC(=O)c1cc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sccc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)scc2s1,CCCCCC(CCCCC)N1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(N1C(=O)c2ccc3c4ccc6c7c(ccc(c8ccc(c2c38)C1=O)c74)C(=O)N(C(CCCCC)CCCCC)C6=O)C5=O,3.94,1,0.0,3.94,3.94
CCCCC(CC)CC(=O)c1cc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sccc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)scc2s1,CCCCCCCC(CCCCCCC)N1C(=O)c2ccc3c4ccc5c6c(cc(-c7cc8c9c(ccc%10c%11ccc%12c%13c(ccc(c7c9%10)c%13%11)C(=O)N(C(CCCCCCC)CCCCCCC)C%12=O)C(=O)N(C(CCCCCCC)CCCCCCC)C8=O)c(c7ccc(c2c37)C1=O)c64)C(=O)N(C(CCCCCCC)CCCCCCC)C5=O,3.54,2,0.1272792206135783,3.45,3.63
CCCCC(CC)CC(=O)c1cc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sccc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)scc2s1,CCCCCCCCCCC(CCCCCCCC)CCN1C(=O)C2=C(c3cc4sc(-c5cccs5)cc4s3)N(CCC(CCCCCCCC)CCCCCCCCCC)C(=O)C2=C1c1cc2sccc2s1,1.595,2,0.4596194077712558,1.27,1.92
CCCCC(CC)CC(=O)c1cc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sccc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)scc2s1,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)C2=C(c3cc4sc(-c5cccs5)cc4s3)N(CC(CCCCCCCC)CCCCCCCCCC)C(=O)C2=C1c1cc2sccc2s1,1.4449999999999998,2,0.3323401871576774,1.21,1.68
